Time (us),Voltage (V)
1580.5,21.25210241
1581,21.24198718
1581.5,21.24198718
1582,21.24198718
1582.5,21.23187195
1583,21.25210241
1583.5,21.22175672
1584,21.22175672
1584.5,21.22175672
1585,21.22175672
1585.5,21.20152625
1586,21.19141102
1586.5,21.20152625
1587,21.17118056
1587.5,21.20152625
1588,21.17118056
1588.5,21.18129579
1589,21.16106532
1589.5,21.16106532
1590,21.16106532
1590.5,21.16106532
1591,21.15095009
1591.5,21.14083486
1592,21.13071963
1592.5,21.16106532
1593,21.1206044
1593.5,21.1206044
1594,21.1206044
1594.5,21.14083486
1595,21.13071963
1595.5,21.1206044
1596,21.11048916
1596.5,21.0902587
1597,21.11048916
1597.5,21.059913
1598,21.10037393
1598.5,21.10037393
1599,21.10037393
1599.5,21.04979777
1600,21.0902587
1600.5,21.07002824
1601,21.059913
1601.5,21.059913
1602,21.16106532
1602.5,23.52802961
1603,26.13775946
1603.5,27.94838599
1604,29.25325092
1604.5,30.24454365
1605,30.64915293
1605.5,31.42802579
1606,32.36874237
1606.5,32.00459402
1607,32.55081654
1607.5,32.70254502
1608,32.9149649
1608.5,33.09703907
1609,33.30945894
1609.5,33.46118742
1610,33.63314637
1610.5,33.71406822
1611,33.78487485
1611.5,33.9264881
1612,33.93660333
1612.5,33.98717949
1613,33.99729472
1613.5,34.03775565
1614,33.99729472
1614.5,33.94671856
1615,33.99729472
1615.5,33.93660333
1616,33.91637286
1616.5,33.84556624
1617,33.8657967
1617.5,33.74441392
1618,33.72418346
1618.5,33.63314637
1619,33.62303114
1619.5,33.55222451
1620,33.50164835
1620.5,33.47130266
1621,33.41061126
1621.5,33.32968941
1622,33.28922848
1622.5,33.26899802
1623,33.19819139
1623.5,33.1375
1624,33.06669338
1624.5,33.03634768
1625,32.96554106
1625.5,32.93519536
1626,32.86438874
1626.5,32.81381258
1627,32.76323642
1627.5,32.73289072
1628,32.67219933
1628.5,32.54070131
1629,32.57104701
1629.5,32.52047085
1630,32.46989469
1630.5,32.4092033
1631,32.36874237
1631.5,32.31816621
1632,32.26759005
1632.5,32.20689866
1633,32.18666819
1633.5,32.10574634
1634,32.07540064
1634.5,32.04505495
1635,32.00459402
1635.5,31.95401786
1636,31.93378739
1636.5,31.88321123
1637,31.83263507
1637.5,31.79217415
1638,31.75171322
1638.5,31.70113706
1639,31.67079136
1639.5,31.6202152
1640,31.59998474
1640.5,31.54940858
1641,31.49883242
1641.5,31.49883242
1642,31.43814103
1642.5,31.40779533
1643,31.3673344
1643.5,31.34710394
1644,31.30664301
1644.5,31.25606685
1645,31.24595162
1645.5,31.20549069
1646,31.19537546
1646.5,31.1447993
1647,31.12456883
1647.5,31.06387744
1648,31.04364698
1648.5,31.02341651
1649,30.99307082
1649.5,30.94249466
1650,30.95260989
1650.5,30.90203373
1651,30.88180327
1651.5,30.94249466
1652,30.84134234
1652.5,30.82111187
1653,30.78065095
1653.5,30.77053571
1654,30.73007479
1654.5,30.75030525
